GSM2367647	GSM2367648	GSM2367649	GSM2367650	GSM2367651	GSM2367652	GSM2367653	GSM2367654	GSM2367655	GSM2367656	GSM2367657	GSM2367658	GSM2367659	GSM2367660
10174	6.2209754	6.1912546	6.3397694	6.211799	6.1418505	6.1191273	6.3446527	6.3643003	6.169492	6.2073984	6.047254	6.401847	6.23725	6.0731177
10175	12.175545	10.802339	10.231879	10.939927	10.96645	11.192711	9.49651	10.916304	9.064163	10.346872	9.452349	10.565656	10.751002	9.323393
10178	6.0423546	7.002984	6.049069	6.062966	6.678199	6.237211	5.711445	7.599251	6.146164	7.237814	5.9944496	6.108461	7.8448772	5.8357124
10179	6.4410605	6.2805023	6.283197	6.789417	6.3758144	6.342806	6.2970514	6.4501863	6.349235	6.257645	6.3732257	6.57157	6.615951	6.012049
10181	10.82538	10.310682	10.705843	10.38778	10.645498	10.883548	10.678566	10.380685	10.070752	10.186479	9.676677	11.1161375	10.370646	9.891324
10186	7.120279	7.203187	7.938459	6.980522	8.626622	7.121272	8.01217	7.817383	6.645471	6.499804	7.832155	11.589371	8.209125	6.2036743
10189	6.186426	6.323829	6.15679	6.133219	6.2361426	6.1785574	6.089442	6.4230504	6.120145	6.390771	6.219355	6.2403827	6.235891	6.146441
1019	9.564688	9.982314	9.29273	8.80182	9.345633	10.449419	10.116071	9.633313	11.014857	10.282988	10.33426	9.85582	9.1600895	10.834976
10193	6.6670356	6.951888	6.982554	6.7828684	6.7831807	7.6020494	7.1531215	7.180656	7.235336	7.291626	7.0753417	7.219606	6.860803	7.2920685
10194	8.097391	8.132456	7.7970653	7.9287744	7.728199	7.6579747	7.61326	7.962428	7.777352	8.738405	7.695332	8.049492	7.7051134	7.8612385
10195	10.308125	9.762675	9.982314	10.082789	10.635958	10.194111	9.410282	9.517532	10.350004	10.4196005	10.840425	8.409037	9.321227	11.11488
10197	8.336246	8.454012	8.798115	7.899145	8.677137	9.149133	9.079658	8.326963	8.185014	8.235221	8.592116	8.184691	8.156991	9.439518
10198	7.074916	7.025281	7.2963014	7.229383	6.5942507	7.235336	6.8646326	6.8595686	7.5478644	7.857878	7.4143157	6.4677925	6.65764	7.566987
10199	9.220611	8.918471	9.2631445	9.318502	9.040299	9.359217	9.063682	9.142006	8.952987	9.02985	8.608591	9.103586	9.101171	8.279624
102	6.034291	5.984875	5.939635	5.929635	5.85431	5.8360367	6.1158013	5.8100047	6.1399016	6.0506887	5.9729843	6.0652947	5.9681535	5.774253
1020	7.6494436	7.705679	8.111822	8.337952	7.9923906	8.795628	8.319269	7.6950626	9.50778	9.560603	8.891066	6.9625072	7.410761	9.567056
10200	6.3932657	6.4167247	6.439831	6.6730494	6.575781	6.292664	6.5429325	6.6640043	6.3956537	6.323309	6.3659706	6.726529	6.6044407	6.4316025
10201	7.9106593	7.984905	7.7893014	8.168915	7.3434687	8.074333	7.4670997	7.521912	8.113126	8.035719	7.5043154	7.5388384	7.8654532	8.234675
10203	7.188031	7.7284565	7.5689883	6.896975	8.139584	7.150872	7.200539	6.469735	6.243822	6.675477	7.7474146	7.513527	6.7400193	5.9468803
10207	6.887981	6.312864	6.408741	6.130476	6.262714	6.7250385	6.5026326	6.471807	6.775179	6.8665476	6.5255795	6.3302073	6.289234	6.5397687
10208	7.2967663	6.599913	7.284473	7.402283	7.4227057	7.6403255	7.0528955	7.3544993	7.062836	7.651966	7.003575	7.9079976	7.7145233	7.4273467
10211	9.673591	10.3852415	10.152125	9.783791	9.804636	9.959206	10.469808	9.553959	10.520423	9.461347	10.468216	10.368795	9.593143	10.139612
10212	9.85844	10.263489	9.951922	9.566526	10.249785	9.849288	10.892826	9.680888	10.45696	10.174033	10.240195	9.992269	9.547748	10.450455
10213	8.399649	8.836432	9.111727	8.709716	8.740922	8.423894	9.268102	8.852619	9.582585	9.198401	9.401387	8.287474	8.474831	9.081993
10214	6.0078974	6.1162868	5.8973017	6.133065	6.201472	5.9807305	6.136636	6.0937624	7.463931	6.7825456	6.9032035	5.919769	6.108346	6.7932696
10220	6.4655757	6.3810062	6.8344526	6.629322	6.7959666	6.484417	6.5889335	6.845684	6.3067117	6.2993846	6.501751	7.523648	6.8695555	6.456453
10221	10.751002	10.503193	11.175552	10.898031	11.368939	12.490888	12.018609	11.91926	10.362786	8.929533	10.132647	10.205753	11.7946415	10.357037
10225	6.751733	6.83131	8.177621	6.980886	7.900997	6.8785176	7.71239	7.1472106	6.298912	6.0635395	7.3775883	8.207543	7.8592873	5.8301177
10226	10.441143	10.377325	10.53773	9.715821	10.671249	9.940449	11.443959	9.601529	10.669145	9.722341	10.627587	11.133295	10.160563	10.079241
10227	9.5381975	9.418343	10.532643	9.709232	10.487484	10.857064	11.500711	9.953273	9.668582	8.146848	10.762786	11.543789	10.541639	9.83246
10228	8.278712	7.822769	8.351566	7.878244	8.158817	7.9429283	9.345633	8.01217	8.320233	7.915442	8.262135	8.683813	7.801262	8.329292
10229	7.611645	7.1298614	6.832181	6.801184	6.806598	6.65657	7.079825	7.2283354	6.903021	6.6890483	7.142005	6.7774496	7.0741673	6.561048
10231	7.0064387	6.788752	8.158817	7.0127764	8.965231	7.259943	7.7631884	7.833337	6.209725	6.808344	8.149338	11.680771	8.798545	7.4093246
10235	6.2865005	6.381167	6.7200665	6.262816	6.7402134	6.4845123	6.807648	6.6113796	6.2821207	6.416271	6.6806955	7.2853823	6.6652927	6.1786165
10236	10.563805	10.950678	11.151178	10.308125	10.310682	11.020291	11.48109	10.517608	10.858115	11.329948	11.104505	11.389193	10.402666	10.845053
10237	10.753366	10.661137	11.049324	11.547395	10.845053	11.119073	10.719174	10.910313	11.276772	11.152571	11.757739	9.664089	10.727049	11.620493
10238	8.2276125	9.075491	9.2772	8.797251	8.894354	9.209853	9.159653	9.02985	8.813927	9.994346	8.98644	8.794378	8.668243	9.563016
10240	9.337821	8.921167	9.075491	9.739014	9.240481	9.397234	8.600004	9.136464	9.025633	9.420396	8.778741	8.996147	9.64764	9.4425
10241	7.3463464	7.601259	7.2747784	7.458657	7.8587427	7.2132955	7.5190625	7.7549725	7.2237797	7.663048	7.2738914	8.101944	7.790168	7.6087804
10243	7.810488	8.30273	8.174657	8.51265	8.47946	8.163779	7.43958	8.394131	7.2831273	9.085061	7.905651	7.8124785	9.098458	8.172053
10244	8.160264	8.600776	8.537548	8.78564	10.066398	10.658137	9.567056	10.409991	8.798545	8.984223	9.5912895	8.971464	9.180479	9.848655
10245	8.037308	8.246857	7.5202703	7.829934	7.7682405	8.063	7.9375644	7.822769	8.587616	9.671709	8.530983	7.3959985	7.3824105	9.414311
10247	7.9346933	7.9863772	7.4346356	7.7145233	8.589187	7.827139	6.332393	8.087556	7.044626	7.06872	7.1311536	6.133767	7.994401	7.488132
