Genes	GSM2367621	GSM2367622	GSM2367623	GSM2367624	GSM2367625	GSM2367554	GSM2367555	GSM2367556	GSM2367557	GSM2367558	GSM2367559	GSM2367560	GSM2367561	GSM2367562	GSM2367563	GSM2367564	GSM2367565	GSM2367566
123688	7.0965643	6.9327936	6.7998614	6.81238	6.973653	6.725331	6.6708894	7.039933	6.647782	6.3409934	6.565918	7.244689	7.057359	7.277429	7.370884	7.2435417	6.785106	7.289183
123720	7.4791055	6.8403983	7.332374	7.1003685	7.048053	7.303554	7.549358	7.4027905	7.53025	7.552019	7.6494436	8.043344	7.865793	8.298378	7.9309106	7.5001326	7.838212	7.886924
1238	11.281477	8.899132	10.428453	10.466256	9.393826	8.509196	8.814341	8.887215	9.004567	8.95646	9.664749	8.542439	9.408633	8.668631	9.885644	8.8031645	9.404051	8.7364
123879	8.952987	8.518545	8.730417	8.73757	9.145786	8.73715	9.133109	8.981214	9.567489	8.3570595	8.677137	8.601124	9.587935	9.363096	9.361632	9.1530695	9.099735	8.879218
123904	6.009785	6.2219043	6.038021	6.088966	5.869336	6.112103	6.144729	6.107865	6.1375713	6.221824	6.1963205	6.361594	6.234763	6.098086	5.9800105	6.134616	6.3065186	6.140073
123920	6.767214	6.37804	6.0913453	6.2343664	6.6460185	6.7115316	6.5107303	6.4827	6.394127	6.4328914	6.5137362	6.836725	6.904448	6.832181	6.5171084	6.86639	6.6548414	6.6302457
124044	7.811915	8.056414	8.006985	8.509196	7.9079976	8.15729	8.957767	8.58337	8.659957	8.194022	8.341405	7.968216	8.078129	8.2751875	8.477644	8.423189	7.5589066	8.379159
124056	6.080834	5.8793707	6.1811895	6.4858356	6.2690096	6.0008	6.394213	6.144481	6.168819	6.260459	6.16606	6.0844994	6.570556	6.2570467	6.2851515	6.738325	6.2642193	6.3718677
124222	7.487887	7.1770186	7.246679	7.6882114	6.950232	6.6026196	6.9475064	6.6670356	8.260068	7.1414156	7.17657	6.72278	7.069321	6.824632	6.9042416	6.4865036	7.551026	6.7182813
124245	6.5062923	6.607626	6.7624135	6.753441	6.6862755	6.570556	6.3593626	6.5306106	6.6804323	6.376966	6.3325267	6.4640503	6.502052	6.595736	6.304735	6.7175674	6.493479	6.4287863
1244	9.374541	9.5801935	10.346107	9.674831	9.781162	8.846562	9.396685	9.961902	7.8742323	9.777956	9.074505	9.722341	8.979898	9.439518	9.260111	9.172357	8.744579	9.188711
124401	6.3694987	6.460196	6.334857	6.5777764	6.730865	6.3560724	6.179587	6.3581896	6.4677925	6.277208	6.151534	6.2737994	6.4874225	6.3572307	6.211872	6.2982974	6.563859	6.352045
124402	7.771341	8.279016	7.6265125	7.9666862	7.8917346	7.4102364	7.9923906	8.07179	7.663048	7.7588058	7.935011	7.402043	7.6505957	8.143907	8.460903	8.45658	7.3831754	8.081296
124446	9.735054	10.133346	10.068402	10.01655	10.711001	9.978703	9.920445	10.0144825	9.986575	10.148689	9.979431	10.310682	10.340053	10.227119	9.676677	10.075743	10.476246	10.099563
124460	5.9675717	6.1903577	5.9810834	5.9776144	6.019439	5.96518	5.9592195	5.8260655	5.9091163	5.9390244	5.9910846	5.8173313	5.9340034	5.9729724	5.9826474	5.964183	5.914454	5.8361216
124491	7.5249786	7.243311	7.182937	7.2448955	7.062836	7.536131	7.3082356	7.569997	7.1135798	6.9445314	7.410761	7.194486	7.3757377	7.499109	7.2137337	7.1037498	6.9548645	7.3270626
124540	6.7605705	6.8407283	6.460196	6.438925	6.4791317	6.653632	6.6387234	6.4789324	6.890279	6.6324816	6.5151935	6.0736976	6.4924946	6.3649135	6.7543035	6.452324	6.165308	6.2721553
124590	6.535335	6.173423	6.2286744	6.0249043	6.195585	6.17268	6.415559	6.3831186	6.0466332	6.2314463	6.2204013	6.33323	6.334513	6.4548297	6.4183784	6.2667484	6.439831	6.4000125
