GSM2367626	GSM2367627	GSM2367628	GSM2367629	GSM2367630	GSM2367631	GSM2367632	GSM2367633	GSM2367634
10293	6.2408404	6.306788	6.424885	6.147453	6.1410093	6.1827865	6.316121	6.25888	6.2812114
10294	10.961282	10.470807	10.323584	9.8283415	10.581688	10.814704	10.632645	10.53773	11.189791
10297	5.7214575	5.9557576	5.8827634	5.9739976	6.118283	6.016685	5.9006634	5.895845	6.006007
10298	7.705956	7.561653	7.522431	7.238063	7.3226867	7.6067157	7.6262717	7.4823656	7.454032
10299	10.853525	8.777269	8.922544	9.55814	8.989046	10.166591	9.594318	9.86474	10.4726095
103	11.07871	10.807128	10.832493	11.058482	11.130774	11.589371	11.10297	11.231072	11.410469
1030	6.045653	7.052147	6.9276733	6.4588366	6.5076323	6.3430076	7.0817356	6.5136194	6.3120456
10300	7.288726	7.726016	7.290753	7.0490503	7.349059	7.65876	7.3804426	7.4624734	7.678919
10301	5.6022162	6.330542	5.924462	5.811682	5.825069	6.1196117	5.898414	6.291628	5.619219
10302	6.30169	7.174357	6.724901	6.6087413	6.9369884	6.6294765	6.6462784	7.0909157	6.508683
10307	12.185023	11.306086	11.322126	10.999882	11.255815	12.200424	10.752214	10.344395	12.227046
10309	6.279043	6.0223746	6.117839	6.2570467	6.2193913	6.9248466	6.1743236	6.4831996	6.350831
1031	6.5756497	6.8088274	7.354282	7.7005143	6.819503	6.8674583	7.08048	6.5721107	6.8839602
10312	9.781851	9.474459	9.391179	9.33974	9.135975	9.412851	9.337285	9.268102	10.013888
10314	8.34177	9.212106	8.815165	9.385601	9.354484	9.254898	9.2978325	8.869793	8.949143
10318	9.124692	8.580326	9.110425	9.017549	9.282628	9.85844	8.744186	9.039835	10.151327
10319	7.3683314	7.8745055	7.0549645	8.654484	7.665171	6.9635916	8.865488	7.2776656	8.193684
10322	6.431921	6.2492347	6.1957994	6.2125754	6.0207977	6.245084	6.202314	6.310013	6.2509594
10329	9.4933605	9.914152	9.879855	9.579686	9.941873	9.442976	9.547236	9.327533	9.243957
1033	6.0283985	8.266808	7.1235075	6.873729	7.0909157	6.7230773	6.759923	6.4704247	6.439831
10331	5.691088	6.118231	6.2990828	6.21033	5.983522	5.858503	6.0035877	5.8880816	6.1310163
10335	6.303849	6.1393833	6.2042146	6.100338	6.435526	6.1765823	6.2040215	6.188722	6.0599623
10342	10.263489	10.81214	10.587813	10.250469	10.736925	10.420395	10.646626	10.6487465	10.086473
10346	7.432512	7.335349	7.978817	8.672115	8.261111	8.917775	9.067779	8.290137	8.517428
10347	7.1735783	6.830979	6.524217	6.8815746	6.418291	7.019741	6.897335	6.7504005	7.5604315
10349	6.48173	5.8821945	6.218055	6.205604	6.2766705	6.4192753	6.627236	6.323309	6.199579
10351	10.032181	6.2382417	9.475051	9.336163	9.949149	10.254725	9.571621	10.348341	8.784344
10360	8.279016	7.570796	8.853072	8.5899105	8.252249	7.7459693	8.325089	7.1252923	7.7698874
10363	7.670355	7.0504937	7.1668754	7.2102394	6.70714	7.3075147	7.235336	7.1058407	7.288726
10365	10.604257	9.593143	9.24549	10.44463	9.590732	9.613503	10.701442	9.763872	11.504179
10367	9.728297	8.336987	8.795202	8.713913	9.019847	9.921035	8.617685	9.565156	8.768145
10370	9.047033	9.470069	9.66795	9.1293545	9.176279	9.243506	8.462349	9.127943	8.328289
10371	6.0653706	6.3111835	6.265063	6.542706	6.0736976	6.1590047	6.4321756	6.0062995	6.387109
10376	13.095438	13.880158	13.439656	13.022294	13.450165	13.031065	13.837744	12.427282	13.043148
10383	10.335058	10.164299	10.491528	9.56874	10.1130085	9.824548	10.2952	9.069216	10.1302805
10390	10.122105	9.6839485	9.553367	10.03416	10.533697	10.551194	10.144803	10.651924	10.241048
103910	12.6320305	13.38932	13.480954	13.344378	13.087407	13.0267725	13.330035	12.672106	12.843142
10392	7.183775	7.0170283	7.132405	7.1582575	7.0817356	6.852522	7.4291654	6.669855	7.221327
10395	6.3665833	6.176257	6.3199444	6.284522	6.4141636	6.1879444	6.2849793	6.6990576	6.185626
10397	8.167944	9.721111	8.59394	8.970549	8.921686	8.510809	8.665023	9.001152	9.098458
10398	5.8658304	6.133566	5.948867	6.5061903	6.055328	6.1236353	6.496453	5.9627213	6.0948987
1040	6.17186	7.6706223	5.9221087	6.8758335	6.654564	7.877145	6.3267474	5.9723363	9.304322
10400	9.996393	10.753366	11.077098	9.050705	10.851068	10.08855	9.315923	11.368939	8.003131
10401	6.2095304	6.4992867	6.364833	6.5243163	6.300659	6.5622444	6.444704	6.430031	6.644689
10402	8.705474	9.155337	7.8374634	7.9186454	8.534181	8.97772	8.040632	9.555147	8.757239
10403	6.201887	6.6603646	6.6206493	6.282387	6.4899526	6.7475724	6.478725	6.1193852	6.2087107
10409	10.126445	8.600405	9.432326	9.921735	9.373099	9.879855	9.863494	9.11836	9.883759
10410	13.670456	13.729383	13.973076	13.645321	14.156157	13.958891	14.095315	13.887406	13.723377
10412	9.211225	9.8977995	9.979431	10.282988	9.914152	9.658091	9.817502	9.885644	9.527569
10413	7.638741	8.407002	8.269019	8.657885	8.458809	8.5701885	8.517801	8.496162	7.8307858
10417	6.6577535	6.646726	6.8636928	7.2950134	7.997173	7.9666862	7.5403748	7.5372014	7.122849
10418	6.308301	6.3457527	6.263692	8.140937	6.4493365	6.368388	6.7122617	6.0686026	7.0802913
10419	7.8863006	8.280273	8.073106	8.060475	8.209715	8.212453	7.7435546	8.04119	8.173656
10421	9.680888	10.013137	9.983766	10.340053	9.977988	10.04651	10.441143	9.435679	10.009373
10422	10.019433	9.355499	9.668582	9.149133	9.590099	9.42262	9.35595	9.284656	9.762073
10424	11.675204	10.984325	11.468865	11.188342	11.3797865	11.719094	11.106191	11.834563	11.489273
10425	9.59491	9.197073	8.933005	9.033108	9.388181	9.739636	9.460836	9.141111	9.515929
10427	7.5547743	7.0288196	7.3757377	7.295449	8.115736	7.5249786	7.4315186	7.9502616	7.32725
10428	7.4441648	7.987007	8.54506	7.1381984	8.632565	7.723734	7.8487124	7.554536	7.547635
1043	9.585485	8.534181	9.93963	10.482074	8.64529	10.390483	10.620394	8.877508	10.625587
10430	9.619687	10.475254	10.625587	11.037276	10.4420185	9.488368	10.774898	9.884358	10.219087
10432	10.202543	9.199904	9.514106	9.38352	9.528651	9.685196	9.656423	9.452957	9.902562
10434	5.754111	5.943313	5.938904	5.8414373	5.676804	5.9221854	5.789337	5.9091964	5.8655033
10435	6.255014	6.547568	6.085466	6.3210683	6.269995	6.1691537	6.3699975	6.2355742	6.5396423
10436	8.669023	9.132648	9.072085	9.004567	9.105797	8.505959	8.883373	9.115414	8.630267
10437	9.640859	8.742475	9.693677	9.308484	9.2653	9.391179	9.813122	9.112197	9.27313
10438	5.990907	5.910012	5.9291368	6.066015	5.769825	5.8321056	5.9659204	6.0744257	5.959939
10439	6.00111	6.1465187	6.4075093	6.7030244	6.340579	6.330809	6.5561304	6.548188	6.1586747
10443	10.15507	8.793536	8.766252	8.994704	8.730417	10.27718	10.27887	9.387685	10.368795
10445	9.6839485	9.592513	9.435679	9.525281	9.438408	9.4635725	9.748086	9.157262	9.518731
10446	5.6344953	5.9016485	5.9956326	5.8354254	5.915447	5.9289513	5.7195587	5.8935423	5.766783
